Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
45.1,0.069,0.049,43.2,16.4,rutabaga cooked,0.4,72.0,9.5,4.3,0.4,2.2,rutabaga cooked
0.2,0.2,0.068,0.055,30.6,parsnips raw,0.2,128.0,8.2,8.3,0.5,2.0,parsnips raw
1.6,0.013,1.9,0.0,3.5,sour pickles,0.6,17.0,1.6,1.9,0.3,0.5,sour pickles
39.5,0.2,0.4,197.3,6.3,turnip greens cooked,1.2,29.0,0.8,5.0,0.3,1.6,turnip greens cooked
6.0,0.052,0.011,21.0,26.2,jerusalem artichokes,5.1,110.0,14.4,2.4,0.047,3.0,jerusalem artichokes
0.003,0.007,0.014,0.2,2.0,collard raw,0.004,12.0,0.2,1.4,0.2,1.1,collard raw
0.1,0.086,0.042,0.1,4.3,chrysanthemum cooked,0.1,20.0,2.0,2.3,0.036,1.6,chrysanthemum cooked
0.0,0.3,0.3,729.6,73.5,oriental radish dried,7.8,314.0,43.3,27.7,0.8,9.2,oriental radish dried
15.4,0.093,0.019,9.2,7.7,tomatillos,0.8,42.0,5.2,2.5,1.3,1.3,tomatillos
18.1,0.04,0.056,10.3,2.0,taro shoots raw,0.5,9.0,0.0,0.0,0.069,0.8,taro shoots raw
47.4,0.06,0.017,142.2,44.9,acorn squash raw,3.0,172.0,0.0,6.5,0.4,3.4,acorn squash raw
3.8,0.089,0.077,11.5,2.4,leeks dried,0.2,10.0,0.0,0.3,0.026,0.5,leeks dried
0.3,0.2,0.006,0.2,16.2,cabbage raw,0.083,70.0,9.0,7.0,0.3,3.6,cabbage raw
124.8,0.055,0.2,6.6,4.5,sweet red peppers cooked,0.3,19.0,3.2,0.9,0.1,0.7,sweet red peppers cooked
190.3,0.089,0.092,10.4,9.0,sweet red peppers raw,0.6,46.0,6.3,3.1,0.4,1.5,sweet red peppers raw
0.082,0.049,0.098,0.052,2.9,cucumber peeled,0.018,16.0,1.8,0.9,0.2,0.8,cucumber peeled
9.0,0.059,0.066,28.0,1.5,purslane raw,0.9,9.0,0.0,0.0,0.2,0.9,purslane raw
12.4,0.078,0.5,25.2,15.5,peas onions cooked,1.7,81.0,6.8,4.0,0.4,4.6,peas onions cooked
0.096,0.054,0.029,0.054,4.9,tomato cooked,0.052,22.0,3.1,0.9,0.1,1.2,tomato cooked
